Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1972-73,23,LAL,NBA,PG,3,16,5.2,0.273,0,NA,NA,11.4,18.8,NA,NA,NA,NA,NA,-0.1,0,-0.1,-0.288,NA,NA,NA,NA,NA
1973-74,24,LAL,NBA,PG,5,161,9.8,0.411,0.197,4.3,7.2,5.6,13.2,2,0,NA,NA,NA,-0.2,0,-0.1,-0.043,NA,-4.5,-0.2,-4.6,-0.1
1975-76,26,MIL,NBA,PG,1,19,16,0.451,0.875,0,0,0,29.1,2.4,0,NA,NA,NA,0,0,0,-0.089,NA,-2.6,-2.4,-5,0
1976-77,27,DEN,NBA,PG,6,158,10.7,0.38,0.151,3.9,12.4,8,22.8,3.4,0.3,NA,NA,NA,-0.2,0.2,0.1,0.024,NA,-1.6,1.4,-0.3,0.1
1978-79,29,LAL,NBA,PG,8,128,3,0.315,0.133,1,5.7,3.5,16.9,1.9,0,20.1,13.3,NA,-0.3,0,-0.2,-0.093,NA,-6.3,-0.2,-6.4,-0.1
Career,NA,,NBA,,23,482,8.4,0.379,0.19,3.1,8.2,5.8,18.1,2.5,0.1,20.1,13.3,NA,-0.7,0.3,-0.4,-0.044,NA,-3.9,0.3,-3.7,-0.2
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,LAL,NBA,,16,305,6.7,0.371,0.159,2.8,6.5,5,15,1.9,0,20.1,13.3,NA,-0.5,0.1,-0.5,-0.077,NA,-5.3,-0.2,-5.4,-0.2
1 season,NA,DEN,NBA,,6,158,10.7,0.38,0.151,3.9,12.4,8,22.8,3.4,0.3,NA,NA,NA,-0.2,0.2,0.1,0.024,NA,-1.6,1.4,-0.3,0.1
1 season,NA,MIL,NBA,,1,19,16,0.451,0.875,0,0,0,29.1,2.4,0,NA,NA,NA,0,0,0,-0.089,NA,-2.6,-2.4,-5,0
