Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
1974-75,25,MIL,NBA,PG,1,0,17:00,3,9,0.333,2,2,1,0,2,0,2,0,NA,4,8
Career,NA,,NBA,,1,0,17,3,9,0.333,2,2,1,0,2,0,2,0,NA,4,8
