Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1972-73,23,LAL,NBA,PG,3,NA,16,6.8,24.8,0.273,0,0,NA,NA,NA,9,4.5,NA,NA,NA,4.5,13.5
1973-74,24,LAL,NBA,PG,5,NA,161,5.6,14.8,0.379,2,2.9,0.692,1.8,2.5,4.2,2.9,1.6,0,NA,4.7,13.2
1975-76,26,MIL,NBA,PG,1,NA,19,5.7,15.2,0.375,7.6,13.3,0.571,0,0,0,7.6,1.9,0,NA,1.9,18.9
1976-77,27,DEN,NBA,PG,6,NA,158,4.3,12.1,0.358,1.1,1.8,0.625,1.4,4.1,5.5,5.7,2.7,0.2,NA,4.1,9.8
1978-79,29,LAL,NBA,PG,8,NA,128,2.5,8.4,0.3,0.6,1.1,0.5,0.3,2,2.3,5.1,1.4,0,2.3,5.3,5.6
Career,NA,,NBA,,23,NA,482,4.4,12.5,0.351,1.5,2.4,0.625,1.2,2.8,4.1,4.6,1.9,0.1,2.3,4.6,10.3
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,LAL,NBA,,16,NA,305,4.4,12.6,0.346,1.3,2,0.647,1.1,2.2,3.7,3.9,1.5,0,2.3,5,10
1 season,NA,DEN,NBA,,6,NA,158,4.3,12.1,0.358,1.1,1.8,0.625,1.4,4.1,5.5,5.7,2.7,0.2,NA,4.1,9.8
1 season,NA,MIL,NBA,,1,NA,19,5.7,15.2,0.375,7.6,13.3,0.571,0,0,0,7.6,1.9,0,NA,1.9,18.9
