Season,Team,Lg,Salary
1996-97,Vancouver Grizzlies,NBA,"$2,186,000"
1999-00,Vancouver Grizzlies,NBA,"$9,000,000"
2000-01,Vancouver Grizzlies,NBA,"$10,130,000"
2001-02,Atlanta Hawks,NBA,"$11,250,000"
2002-03,Atlanta Hawks,NBA,"$12,375,000"
2003-04,Atlanta Hawks,NBA,"$13,500,000"
2004-05,Portland Trail Blazers,NBA,"$14,625,000"
2005-06,Sacramento Kings,NBA,"$5,000,000"
2006-07,Sacramento Kings,NBA,"$5,400,000"
2007-08,Sacramento Kings,NBA,"$5,800,000"
2009-10,Sacramento Kings,NBA,"$6,600,000"
Career,(may be incomplete),,"$95,866,000"
