,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Season,Age,College,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
1981-82,18,NCSTATE,24,,16,32,,,20,32,,28,,1,2,10,17,52,.500,,.625,,2.2,1.2,
1982-83,19,NCSTATE,36,,109,201,,,73,109,,215,,16,15,48,107,291,.542,,.670,,8.1,6.0,
1983-84,20,NCSTATE,33,1156,222,411,,,151,206,,275,,15,26,66,69,595,.540,,.733,35.0,18.0,8.3,
1984-85,21,NCSTATE,33,1104,236,411,,,125,178,,212,,14,23,47,58,597,.574,,.702,33.5,18.1,6.4,
Career,,,126,2260,583,1055,,,369,525,,730,,46,66,171,251,1535,.553,,.703,34.2,12.2,5.8,
