Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Terry Furlow,,3.3,2.8,1.1,0,NA
Ron Sobie,88.3,3.6,2.6,0.9,0.1,NA
George Karl,88.0,3.4,3.3,1.3,0,-0.2
Curly Armstrong,87.1,3.5,3.1,0.6,NA,NA
Louie Nelson,86.5,2.9,2.3,1.1,0,0
Tyus Jones,86.0,3.6,3,1.5,0.3,NA
Billy Ray Bates,85.8,3.6,2.4,0.9,0,NA
Mike Butler,83.6,3.1,2.3,1.6,0.1,NA
Mervin Jackson,81.3,3.1,3.1,1.8,-0.2,-0.2
Casey Jacobsen,81.2,2.7,2.6,1.2,-0.3,NA
Jerian Grant,80.3,3.3,2.5,1.7,0.8,NA
