Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Terry Furlow,,3.3,2.8,1.1,0
Jeremy Lamb,90.2,3.3,2.7,1.6,0.2
Ron Sobie,88.3,3.6,2.6,0.9,0.1
George Karl,88.2,3.4,3.3,1.3,-0.2
Curly Armstrong,87.1,3.5,3.1,0.6,NA
Louie Nelson,86.6,2.9,2.3,1.1,0
Gerald Henderson,86.5,3.3,2.4,1,0.4
Steve Kerr,86.2,3.2,2.4,1.3,0.4
Bill Gabor,86.0,3.5,2.8,1.5,0.5
Tyus Jones,86.0,3.6,3,1.5,0.3
Billy Ray Bates,85.8,3.6,2.4,0.9,0
