Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Stephen Vacendak,,2.2,0.1,-0.4,NA,NA
Cliff Barker,88.3,2.2,0.1,-0.2,NA,NA
Ticky Burden,66.8,2.6,0,0,NA,NA
John Kuester,66.6,1.9,0.1,0,NA,NA
Travis Mays,64.5,2.1,0.3,0,NA,NA
Mark Davis,64.4,2.3,0.2,-0.1,-0.1,-0.1
Danuel House,59.7,2.3,0.6,0,NA,NA
Stan Noszka,52.2,1.8,0.4,-0.2,NA,NA
Alexey Shved,47.8,2.2,0.8,0.2,NA,NA
Joe DePre,45.5,3.4,0,-0.3,NA,NA
Trajan Langdon,44.7,2,0.6,0.3,NA,NA
