,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1970-71,23,NYA,ABA,,9,,0,,,,5,6,,,,,,,,20
1971-72,24,NYA,ABA,,2,,1,,,,2,4,,,,,,,,5
Career,,,,,9,,1,,,,5,6,,,,,,,,20
