Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Joe DePre,,3.4,0,-0.3,NA,NA,NA
Keith Herron,96.1,3.5,0,-0.3,NA,NA,NA
Ticky Burden,60.1,2.6,0,0,NA,NA,NA
Jerry Harkness,58.4,2.9,0.5,0,NA,NA,NA
Paul Thompson,55.3,3.7,1.1,0.1,NA,NA,NA
Kevin Joyce,54.4,3,0.6,-0.7,NA,NA,NA
Malik Beasley,52.5,4.5,0.3,0.2,NA,NA,NA
Jim Thomas,49.6,3.5,1.6,0,-0.1,NA,NA
Negele Knight,47.8,3.2,0.6,0.5,0.1,-0.1,-0.2
Alfred McGuire,46.1,3.4,1.9,0.1,NA,NA,NA
Stephen Vacendak,45.5,2.2,0.1,-0.4,NA,NA,NA
