Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1970-71,23,NYA,ABA,SG,6,NA,171,29,55,0.527,0,1,0,29,54,0.537,0.527,15,19,0.789,10,8,18,13,NA,16,32,73
1971-72,24,NYA,ABA,SG,14,NA,74,5,24,0.208,1,2,0.5,4,22,0.182,0.229,4,8,0.5,NA,NA,8,6,NA,6,13,15
Career,NA,,ABA,,20,NA,245,34,79,0.43,1,3,0.333,33,76,0.434,0.437,19,27,0.704,10,8,26,19,NA,22,45,88
