Thru 12 Years,Thru 12 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Jamaal Magloire,,7.6,6.7,5.7,2.6,2,1.3,1.1,0.6,0.6,0.3,-0.2,-0.6
Andris Biedriņš,88.7,8,6.7,5.4,2.9,2.6,1.6,1.3,1.2,1.1,0,NA,NA
Neal Walk,82.7,7.1,6.8,6.1,5.1,2.1,1.7,1.2,0.2,NA,NA,NA,NA
Scot Pollard,82.2,6.8,5.4,5.1,2.1,1.9,1.4,1.1,1,0.9,0.6,0.2,NA
Kendrick Perkins,79.7,6.2,5.6,5.2,2.5,2.3,2,1.4,1,0.8,0.7,0.1,0.1
Darrall Imhoff,79.5,8.2,5.9,5,4.9,2.4,2.1,0.9,0.7,0.7,0,-0.2,-0.6
Bob Rule,77.7,7.8,6.4,5.2,2.4,0.5,0.3,0.1,0,NA,NA,NA,NA
Joel Przybilla,74.9,6.6,4.7,4.3,2.3,1.9,1.4,0.6,0.5,0.3,0.3,0.1,0.1
Elmore Smith,74.7,8.7,6.8,5.9,4.7,3.9,2.9,1.5,0.3,NA,NA,NA,NA
Gene Moore,73.3,6.8,5.7,5,4.5,1.9,0.8,0,NA,NA,NA,NA,NA
Connie Simmons,73.0,6.1,5.7,5.3,3.3,2.6,2.5,2.4,1.1,0.1,NA,NA,NA
