Season,Team,Lg,Salary
1984-85,Dallas Mavericks,NBA,"$200,000"
1985-86,Dallas Mavericks,NBA,"$225,000"
1987-88,Seattle SuperSonics,NBA,"$325,000"
1988-89,Seattle SuperSonics,NBA,"$1,200,000"
1989-90,Seattle SuperSonics,NBA,"$1,500,000"
1990-91,Milwaukee Bucks,NBA,"$1,250,000"
1991-92,Milwaukee Bucks,NBA,"$1,300,000"
1992-93,San Antonio Spurs,NBA,"$1,000,000"
1993-94,San Antonio Spurs,NBA,"$1,300,000"
1994-95,Denver Nuggets,NBA,"$1,007,500"
1995-96,Denver Nuggets,NBA,"$1,310,000"
1996-97,Denver Nuggets,NBA,"$1,600,000"
1997-98,Seattle SuperSonics,NBA,"$1,920,000"
1998-99,Seattle SuperSonics,NBA,"$1,750,000"
1999-00,Charlotte Hornets,NBA,"$2,095,250"
2000-01,Miami Heat,NBA,"$2,290,000"
Career,(may be incomplete),,"$20,272,750"
