Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1969-70,22,BOS,NBA,PF,51,NA,797,130,335,0.388,64,92,0.696,NA,NA,257,29,NA,NA,NA,87,324
1970-71,23,BOS,NBA,PF,82,NA,1867,313,745,0.42,133,183,0.727,NA,NA,538,78,NA,NA,NA,198,759
1971-72,24,BOS,NBA,PF,71,NA,1128,185,444,0.417,80,102,0.784,NA,NA,320,46,NA,NA,NA,130,450
1972-73,25,BOS,NBA,SF,78,NA,762,140,347,0.403,65,84,0.774,NA,NA,197,26,NA,NA,NA,92,345
1973-74,26,BOS,NBA,PF,78,NA,985,157,368,0.427,86,111,0.775,96,141,237,38,7,7,NA,125,400
1974-75,27,MIL,NBA,SF,59,NA,517,62,159,0.39,44,56,0.786,52,71,123,35,11,3,NA,59,168
1975-76,28,TOT,NBA,C-SF,70,NA,967,135,291,0.464,71,79,0.899,90,169,259,47,12,13,NA,133,341
1975-76,28,BUF,NBA,SF,10,NA,85,7,17,0.412,3,3,1,4,21,25,3,1,2,NA,10,17
1975-76,28,BOS,NBA,C,60,NA,882,128,274,0.467,68,76,0.895,86,148,234,44,11,11,NA,123,324
1976-77,29,BOS,NBA,SF,76,NA,860,131,312,0.42,63,83,0.759,76,133,209,39,7,5,NA,89,325
1977-78,30,BOS,NBA,PF,3,NA,14,1,4,0.25,0,0,NA,1,5,6,0,1,0,2,2,2
Career,NA,,NBA,,568,NA,7897,1254,3005,0.417,606,790,0.767,315,519,2146,338,38,28,2,915,3114
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8 seasons,NA,BOS,NBA,,499,NA,7295,1185,2829,0.419,559,731,0.765,259,427,1998,300,26,23,2,846,2929
1 season,NA,MIL,NBA,,59,NA,517,62,159,0.39,44,56,0.786,52,71,123,35,11,3,NA,59,168
1 season,NA,BUF,NBA,,10,NA,85,7,17,0.412,3,3,1,4,21,25,3,1,2,NA,10,17
