Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Steve Kuberski,,2.6,2.3,1.7,1.7,1.2,1.1,0.6,0.2,0,NA,NA
Wesley Johnson,91.8,2.6,1.9,1.7,1.7,1.3,0.9,0.6,0,0,NA,NA
Damien Wilkins,85.8,2.8,1.9,1.9,1.7,1.5,1,1,0.4,0,-0.1,NA
Ryan Bowen,84.2,3.1,2.1,1.7,1.5,1.4,1.1,0.8,0.6,0.2,0.1,NA
Jarvis Hayes,84.1,2.9,2.1,1.7,1.5,0.8,0.7,0.5,NA,NA,NA,NA
Darrell Arthur,83.7,3.8,2.3,1.7,1.7,1.1,0.9,0.7,0.3,0,NA,NA
Robert Traylor,81.9,2.5,2.5,2.4,1.9,1.8,1.2,1,NA,NA,NA,NA
Jared Jeffries,81.6,3.1,2.6,2.2,1.7,1.2,1.2,0.6,0.6,0.3,0.1,-0.3
Bill Willoughby,81.6,3,2.6,1.8,1.5,1.2,1.2,1.1,0.9,NA,NA,NA
McCoy McLemore,80.7,2.7,2.1,1.8,1.7,0.7,0.4,0.4,-0.3,NA,NA,NA
Mark Acres,80.2,2.5,2.2,1.9,1.6,0.9,0.3,NA,NA,NA,NA,NA
