Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1973-74,26,BOS,NBA,PF,78,NA,985,7,16.3,0.427,3.8,4.9,0.775,4.3,6.2,10.5,1.7,0.3,0.3,NA,5.5,17.7,NA,NA,98
1974-75,27,MIL,NBA,SF,59,NA,517,5.6,14.5,0.39,4,5.1,0.786,4.7,6.5,11.2,3.2,1,0.3,NA,5.4,15.3,NA,NA,100
1975-76,28,TOT,NBA,C-SF,70,NA,967,6.3,13.5,0.464,3.3,3.7,0.899,4.2,7.8,12,2.2,0.6,0.6,NA,6.2,15.8,NA,NA,98
1975-76,28,BUF,NBA,SF,10,NA,85,3.7,8.9,0.412,1.6,1.6,1,2.1,11,13,1.6,0.5,1,NA,5.2,8.9,NA,NA,97
1975-76,28,BOS,NBA,C,60,NA,882,6.5,13.9,0.467,3.5,3.9,0.895,4.4,7.5,11.9,2.2,0.6,0.6,NA,6.3,16.5,NA,NA,98
1976-77,29,BOS,NBA,SF,76,NA,860,6.8,16.2,0.42,3.3,4.3,0.759,3.9,6.9,10.9,2,0.4,0.3,NA,4.6,16.9,NA,NA,100
1977-78,30,BOS,NBA,PF,3,NA,14,3.2,12.9,0.25,0,0,NA,3.2,16.2,19.4,0,3.2,0,6.5,6.5,6.5,NA,44,92
Career,NA,,NBA,,286,NA,3343,6.5,15.2,0.417,3.5,4.4,0.767,4.2,6.9,11.2,2.1,0.5,0.4,0,5.5,16.5,NA,44,99
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8 seasons,NA,BOS,NBA,,217,NA,2741,6.7,15.5,0.419,3.5,4.4,0.765,4.2,6.9,11.1,2,0.4,0.4,0,5.5,17,NA,44,98
1 season,NA,MIL,NBA,,59,NA,517,5.6,14.5,0.39,4,5.1,0.786,4.7,6.5,11.2,3.2,1,0.3,NA,5.4,15.3,NA,NA,100
1 season,NA,BUF,NBA,,10,NA,85,3.7,8.9,0.412,1.6,1.6,1,2.1,11,13,1.6,0.5,1,NA,5.2,8.9,NA,NA,97
