Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Steve Kuberski,,2.6,2.3,1.7,1.7,1.2,1.1,0.6,0.2,0
Wesley Johnson,91.8,2.6,1.9,1.7,1.7,1.3,0.9,0.6,0,0
Tony Massenburg,91.4,2.8,2.2,1.8,1.7,1.3,0.7,0.4,0.2,-0.1
Damien Wilkins,86.1,2.8,1.9,1.9,1.7,1.5,1,1,0.4,0
Ryan Bowen,84.6,3.1,2.1,1.7,1.5,1.4,1.1,0.8,0.6,0.2
Jud Buechler,84.3,2.9,2.3,1.9,1.8,1.5,1.2,1.2,0.5,0.4
Jarvis Hayes,84.1,2.9,2.1,1.7,1.5,0.8,0.7,0.5,NA,NA
Darrell Arthur,83.7,3.8,2.3,1.7,1.7,1.1,0.9,0.7,0.3,0
Tom Hammonds,82.4,2.6,2.4,2.2,1.8,1.7,0.8,0.8,0.6,0.5
Robert Traylor,81.9,2.5,2.5,2.4,1.9,1.8,1.2,1,NA,NA
Bill Willoughby,81.6,3,2.6,1.8,1.5,1.2,1.2,1.1,0.9,NA
