Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Reggie King,,8.3,6.2,4.8,3.4,1.6,0.5,NA,NA
John Brisker,87.9,8.2,6.3,3.1,2.3,1.7,0.5,NA,NA
Dwight Powell,87.3,7.5,6.6,4.6,3.1,0.6,NA,NA,NA
Joe Ingles,86.7,7.6,6,5,2.3,2.2,NA,NA,NA
Doug Moe,85.5,9.4,5.2,4.8,4.3,1.8,NA,NA,NA
Les Hunter,84.5,8.4,5.6,4.9,2.7,2.2,2.1,-0.5,NA
John Shumate,84.5,7.7,6.5,6.3,3.5,0.5,NA,NA,NA
Greg Smith,82.8,6.8,5.5,4.5,2.7,1.9,0.6,0.4,0
Tiago Splitter,82.1,8.2,4.6,4.3,4,2.3,1.7,0.1,NA
Chandler Parsons,80.6,7.6,7,5.5,4.3,3.4,1.1,0.2,0
Warren Davis,80.2,8.1,5.8,5.7,3.4,3.4,3.2,NA,NA
