Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Reggie King,,8.3,6.2,4.8,3.4,1.6,0.5
Lamar Odom,94.9,8.4,6.5,4.7,3.2,2.2,0.7
Jeff Foster,90.5,8.3,5.4,4.2,2.7,1.6,0.6
Joe Caldwell,89.7,7.9,6.7,3.7,3.3,2,0.3
Zach Randolph,89.3,7.1,5.7,4.8,3.1,1.3,0.5
Jim Brewer,88.3,7.9,5.8,4.4,2.6,1.3,1.3
John Brisker,87.9,8.2,6.3,3.1,2.3,1.7,0.5
Les Hunter,87.7,8.4,5.6,4.9,2.7,2.2,-0.5
Dwight Powell,87.3,7.5,6.6,4.6,3.1,0.6,NA
Joe Ingles,86.7,7.6,6,5,2.3,2.2,NA
Drew Gooden,86.4,8.5,6.6,6.5,3.3,1.9,1.7
