Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Jim Spanarkel,,5.5,5.2,1,0.4,0.2
Jamal Murray,92.0,5.5,5.1,1.3,NA,NA
Joe Harris,84.4,5.5,4,0.8,0.2,0
Tomáš Satoranský,82.6,5,4.7,0.6,NA,NA
Spencer Dinwiddie,79.9,5.7,4.8,2.8,0.1,0.1
Delon Wright,79.6,4.5,4.3,1.1,0.6,NA
Josh Richardson,75.7,5.6,5.4,2.5,2.2,NA
Bruce Hale,73.0,5.1,4.4,-0.4,NA,NA
Fred VanVleet,72.6,4.7,4.3,0.2,NA,NA
Terry Rozier,71.1,5.6,3.2,1.4,-0.3,NA
Stephen Chubin,70.0,6.9,4,1.7,NA,NA
