Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Jim Spanarkel,,5.5,5.2,1,0.4,0.2
Jamal Murray,92.0,5.5,5.1,1.3,NA,NA
Bob Sura,86.9,5.2,4.9,1.6,0.7,0.4
Alvin Williams,86.5,5.4,5.2,1.3,1.2,1
Brad Davis,85.7,5.4,4.2,0.6,0.6,0.3
Joe Harris,84.4,5.5,4,0.8,0.2,0
Tomáš Satoranský,82.6,5,4.7,0.6,NA,NA
Jeff McInnis,81.4,6.9,5.1,0.3,0.2,0.1
Scott Burrell,80.9,5.6,3.7,1.1,0.8,0.5
Rickey Green,80.3,6.6,5.7,1.8,0.3,-0.1
Goran Dragić,80.2,5.7,5.1,2.8,1,0.1
