Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Sleepy Floyd,,10,7.7,7.5,6.3,4.4,4.4,3.7,3.1,2.2,1,0.9,-0.2,-0.4,NA
Andy Phillip,91.9,9.7,7.7,7.4,7.1,5.5,4.8,3.8,3.1,2.9,1.5,NA,NA,NA,NA
Goran Dragić,89.3,10.3,7.5,6.8,5.7,5.3,5.1,4.7,2.8,1.6,1,0.1,NA,NA,NA
Tom Gola,89.3,9.9,7.4,7.1,6.8,6.5,4.4,4.4,3.4,1.7,1.7,NA,NA,NA,NA
Darrell Armstrong,88.9,8.7,8,7.6,6.4,5.3,4.9,3.2,2.5,1.8,0.8,0.3,0.1,0.1,0
José Calderón,88.8,10.2,7.5,7.4,6.3,5.4,5.1,4.2,4,3.7,1.8,0.9,0.9,0.6,0.3
Alvin Robertson,88.6,8.6,7.7,7.5,5.8,5.3,4.4,3.6,3.4,3.1,2.8,NA,NA,NA,NA
Michael Adams,87.8,8.3,7.5,6.9,6.3,5.3,4.6,3.1,2.7,1.6,0.8,-0.1,NA,NA,NA
Paul Pressey,87.6,9.8,9.6,7.1,5.5,4.8,3.8,3.2,3,2,0.3,0.1,NA,NA,NA
Rajon Rondo,87.4,9.9,9.6,7.2,6.6,4.9,4.6,3.6,3.2,2.4,2.3,1.6,1.3,1.1,NA
Kenny Smith,87.0,9,8.2,6.1,6.1,5.1,4.1,2.9,2.6,2.2,0.6,NA,NA,NA,NA
