Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Spencer Hawes,,4.5,4.5,2.9,2.4,2.1,1.9,1.7,1.2,0.8,0.6
Randy Breuer,88.1,5.1,4.5,3,2.4,2,1.7,1,0.9,0.3,0.1
Otto Moore,86.6,5,4.7,3.5,2.9,2.4,2.3,1.8,1.3,0.9,NA
Dennis Awtrey,85.4,5.2,5,3.1,2.1,1.8,1.4,1,1,0.7,0.6
Clemon Johnson,84.1,4.3,4,3.7,3.5,2.2,2,2,1.7,1.2,0.9
Mel Counts,83.3,5,4.3,4.2,2.9,2.7,1.9,1.5,1.5,1,0.3
Bob Ferry,81.7,4.9,3.9,3.1,2.7,1.4,1.2,1.2,0.9,0.8,0
Len Elmore,81.5,4.1,3.4,2.2,2.1,2.1,1.6,1.5,0.9,0.9,0
Marreese Speights,81.1,4.2,4,3.8,2.8,2.7,2.1,2.1,1.8,1.7,0.6
Wayne Cooper,80.5,5.1,4.1,3.5,2.9,2.9,2.8,2,1.5,1.2,1.2
Ian Mahinmi,80.4,6.2,3.4,3.3,2.3,2.2,2.1,1.8,1.4,0.7,0.2
