Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Yakhouba Diawara,,0.7,0.5,0.5,-0.1
Acie Law,90.8,0.7,0.6,0.4,-0.1
Mike Wilks,83.6,0.7,0.6,0.5,-0.3
Pearl Washington,81.2,0.7,0.7,0.5,NA
Sebastian Telfair,78.4,0.7,0.6,0.5,-0.4
JaKarr Sampson,76.8,0.8,0.6,0.5,0.1
Royal Ivey,73.0,0.7,0.5,0.3,0.2
Shawn Respert,72.8,0.8,0.7,0.5,0.1
Rodney Buford,72.2,0.8,0.8,0.6,-0.2
Chris Corchiani,67.2,0.9,0.4,0.3,NA
Tracy Moore,67.1,0.6,0.5,0.3,0.1
