Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Terry Teagle,,3.1,3.1,2.7,2.1,1.3,1.3,0.7,0.2,0,-0.2,-0.8
Toby Kimball,87.9,3.4,3.2,2.5,2,1.2,1.2,0.4,0.2,0,NA,NA
Don Reid,85.5,2.9,2.8,2.7,2.3,1.1,1,0.9,-0.1,NA,NA,NA
Duane Ferrell,84.7,3.5,3.2,2.8,1.9,1.9,1.2,1,0.4,0,-0.1,-0.2
Brad Lohaus,82.5,3.3,2.7,2.7,1.8,1.5,1.3,0.9,0.9,0.1,0.1,-0.1
Chase Budinger,82.4,3.4,3.1,3,1.4,1.3,0.9,0.7,NA,NA,NA,NA
Derrick Williams,80.6,3.6,3,2.6,2.1,1.8,1.1,0,NA,NA,NA,NA
Corky Calhoun,80.2,3.1,2.5,2.3,2.2,2.1,1.3,1,0,NA,NA,NA
George Johnson,80.0,3.8,3.2,2.5,2.2,1,0.7,0.6,0,NA,NA,NA
Jared Jeffries,79.9,3.1,2.6,2.2,1.7,1.2,1.2,0.6,0.6,0.3,0.1,-0.3
Mike Scott,78.2,3.2,2.7,2.6,2.5,1.6,0.9,-0.1,NA,NA,NA,NA
