Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Jerry Fleishman,,2.2,2.1,1.6,1.3,0.6,NA,NA,NA
Brian Roberts,89.7,2.2,2.2,1.8,1,0.2,NA,NA,NA
Med Park,85.9,1.9,1.9,1.8,1.6,0.4,NA,NA,NA
Gordan Giriček,85.5,2.4,1.9,1.8,1.6,0.5,-0.2,NA,NA
Lee Mayberry,85.1,2.1,1.8,1.6,1.6,0.4,0.4,-0.1,NA
Elston Turner,80.8,2.3,2.1,1.4,1.3,1.2,0.3,0.1,-0.2
Joe Hassett,80.1,2,1.6,1.4,0.9,0.5,0,NA,NA
Tim Frazier,79.9,2.4,2,1.4,1,-0.1,NA,NA,NA
Greg Minor,79.7,3,2.1,1.7,0.8,0.6,NA,NA,NA
Will Bynum,78.3,1.9,1.7,1.5,1.3,1,-0.1,-0.2,-0.2
Leon Wood,77.9,2.2,2,1.9,0.6,0.3,-0.2,NA,NA
