Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Jerry Fleishman,,2.2,2.1,1.6,1.3,0.6
Brian Roberts,89.7,2.2,2.2,1.8,1,0.2
Lee Mayberry,89.1,2.1,1.8,1.6,1.6,0.4
Mike Bratz,87.3,2.7,2.1,1.7,1.5,0.4
Med Park,85.9,1.9,1.9,1.8,1.6,0.4
John Crotty,85.7,2.4,2.1,1.3,1,0.3
Dion Waiters,85.3,2.1,1.6,1.6,1.1,0.9
Trey Burke,83.3,2.4,2.4,2.1,0.9,0.5
Ledell Eackles,82.9,2.1,2,1.2,1,1
Jon Barry,82.8,2.4,2.1,1.8,1.1,-0.1
Nick Young,82.8,2.8,1.9,1.4,1.2,0.4
