Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Julian Hammond,,6.7,6.6,5.7,5.1,0.8,NA,NA,NA,NA,NA
John Shumate,85.7,7.7,6.5,6.3,3.5,0.5,NA,NA,NA,NA,NA
Dwight Powell,83.4,7.5,6.6,4.6,3.1,0.6,NA,NA,NA,NA,NA
Reggie Williams,82.6,6.6,5.9,5.8,4.8,3.3,0.4,0.3,0.1,0,-1.1
Khris Middleton,80.8,6.9,6.7,6.1,6.1,2.7,1.6,0.9,NA,NA,NA
Chandler Parsons,79.1,7.6,7,5.5,4.3,3.4,1.1,0.2,0,NA,NA
Mitch Kupchak,78.4,5.9,5.9,5.2,4.9,2.4,1.4,1.1,0.2,0,NA
Sonny Parker,78.0,7,6.8,6.2,3,2.3,1.6,NA,NA,NA,NA
Reggie King,77.9,8.3,6.2,4.8,3.4,1.6,0.5,NA,NA,NA,NA
Goo Kennedy,77.3,5.7,5,4.5,4,0.8,0.3,NA,NA,NA,NA
Clark Kellogg,76.5,7,6.8,6.1,0.9,0.1,NA,NA,NA,NA,NA
