Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Julian Hammond,,6.7,6.6,5.7,5.1,0.8
Happy Hairston,95.5,7,6.5,5.3,5.1,0.4
Raef LaFrentz,94.3,6.8,6.4,5.9,5.8,1.2
Campy Russell,93.3,6.7,6.7,6.6,5.5,1.1
Ersan İlyasova,93.2,6.7,6.4,5.8,3.8,1
Brian Grant,91.8,6.3,5.9,5.3,4.7,1
Kenyon Martin,91.5,7.1,6.7,5.3,4.9,2.1
Danilo Gallinari,90.5,7.2,6.1,5.6,3.9,1
Thaddeus Young,89.3,6.3,6.2,5.5,4.5,2.1
Tristan Thompson,89.0,8.7,6.8,5.7,5.2,1.1
Mitch Kupchak,88.8,5.9,5.9,5.2,4.9,0.2
