Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Flynn Robinson,,9.3,6.7,4.9,3.6,3.3,2.2,1.3,1.2
Ben Gordon,91.5,8.6,6.9,5.1,4.4,3.5,2.1,1.7,1.7
Chuck Williams,91.0,10,6.1,4.7,3.8,3.2,3,1.3,0.6
Mo Williams,90.3,9.8,6.7,4.5,3.2,2.5,2.2,1,0.2
Eric Snow,88.5,8.4,6.1,5.5,3.8,3.8,1.9,1.3,0.5
Stu Lantz,88.3,10.5,7.4,4.7,3.4,2.4,1.7,1.4,1
Frankie Brian,86.4,9.2,6.1,5.6,3.6,3,2.7,-0.2,NA
Wesley Person,86.3,10.3,6.9,5.2,4,3.8,3.7,2.6,1.2
Vinny Del Negro,86.0,8.3,6.8,5.7,3.7,3.5,3.1,2.5,2.2
Ronnie Brewer,85.9,7.8,6.8,5.4,3.9,3.7,1.7,1.1,0
Leandro Barbosa,85.1,8.2,5.5,5,3.8,1.9,1.8,1.5,1.1
