Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Flynn Robinson,,9.3,6.7,4.9,3.6,3.3,2.2,1.3,1.2,NA,NA,NA
Chuck Williams,91.0,10,6.1,4.7,3.8,3.2,3,1.3,0.6,NA,NA,NA
Ben Gordon,89.4,8.6,6.9,5.1,4.4,3.5,2.1,1.7,1.7,0.3,-0.3,-0.6
Stu Lantz,88.3,10.5,7.4,4.7,3.4,2.4,1.7,1.4,1,NA,NA,NA
Bill Melchionni,87.5,8.4,6.5,4.8,3.3,1.8,1.6,1.5,1.1,-0.1,NA,NA
Scott Skiles,87.1,8,7,4.5,4.4,3.2,2,1.3,0.3,0.1,-0.2,NA
Frankie Brian,86.4,9.2,6.1,5.6,3.6,3,2.7,-0.2,NA,NA,NA,NA
Ronnie Brewer,85.9,7.8,6.8,5.4,3.9,3.7,1.7,1.1,0,NA,NA,NA
Johnny Moore,85.9,7.2,6.6,5.8,3.8,3.2,2.1,1.2,0.3,-0.1,NA,NA
Warren Jabali,85.1,10.7,7.3,5.8,3.5,3.2,2.6,2.1,NA,NA,NA,NA
Micheal Ray Richardson,84.9,8.7,6.9,6,5.5,3.3,2.4,2,0.3,NA,NA,NA
