Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
1969-70,28,MIL,NBA,PG,1,0,8:00,3,4,0.75,NA,NA,NA,0,0,NA,NA,1,2,NA,NA,NA,2,6
Career,NA,,NBA,,1,0,8,3,4,0.75,NA,NA,NA,0,0,NA,NA,1,2,NA,NA,NA,2,6
