Thru 3 Years,Thru 3 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3
Wayne Selden,,0.3,0.1,-0.3
Donald Sloan,35.5,0.3,0.1,-0.3
Cliff Anderson,34.4,0.4,0,-0.2
Brad Holland,23.5,0.3,0.1,-0.1
Elijah Millsap,22.4,0.4,0.1,-0.1
Michael Phelps,16.7,0.3,0.1,-0.1
Billy Thomas,12.4,0.4,0.2,-0.1
Paul Long,11.5,0.3,0.2,-0.2
Malcolm Lee,11.4,0.4,0.1,0
Eddie Gill,2.3,0.3,0.1,0
Bob Duffy,0.9,0.3,0.1,0.1
