Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Dino Rađa,,5.9,4.5,4,-0.2,NA,NA,NA
Maurice Stokes,88.5,6,5.5,4.5,NA,NA,NA,NA
Willie Murrell,84.9,7,4.6,3.1,NA,NA,NA,NA
George Stone,84.2,4.6,4.6,4.5,0.2,NA,NA,NA
Sly Williams,84.1,5.1,4.2,3.8,0.5,-0.1,-0.1,-0.2
Bones McKinney,81.6,7.1,4.9,3.3,0.2,0,-0.2,NA
Kristaps Porziņģis,80.6,4.5,4.4,3.2,NA,NA,NA,NA
Bob Lavoy,80.4,5.8,5.8,3.4,1,NA,NA,NA
Larry Nance,80.4,5.8,4.9,3.5,2.2,NA,NA,NA
Randolph Mahaffey,80.1,5.7,4.7,3.7,2.6,NA,NA,NA
Leo Barnhorst,79.9,4.7,4.6,3.6,1.3,NA,NA,NA
