Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Dino Rađa,,5.9,4.5,4,-0.2
John Block,90.3,5.5,5.1,4.1,0.2
Nenê Hilário,90.1,6.1,5,3.2,-0.1
Jeff Green,90.0,6.6,4.8,4.2,0.2
Sly Williams,89.7,5.1,4.2,3.8,-0.1
Clifford Robinson,88.7,6.8,4.6,4.2,0.3
Keon Clark,88.6,5.3,4.2,3.7,0.2
Maurice Stokes,88.5,6,5.5,4.5,NA
P.J. Tucker,87.8,6.1,4.9,2.9,0.1
Pervis Ellison,86.2,6.9,4,3.9,0.4
Dave DeBusschere,86.0,6.6,3.7,3.6,0
