Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Alan Ogg,,0.5,0.3,0,NA,NA
George Zídek,79.2,0.6,0.3,0,NA,NA
Matt Fish,76.9,0.4,0.2,0,NA,NA
Daniel Orton,72.7,0.5,0.3,0.3,NA,NA
Chris Welp,69.0,0.7,0.3,0,NA,NA
Oleksiy Pecherov,65.0,0.5,0.1,0,NA,NA
Kyrylo Fesenko,56.3,0.6,0.3,0.1,0,-0.1
Patrick O'Bryant,55.8,0.3,0.2,0,0,NA
Olumide Oyedeji,55.6,0.4,0.4,0.3,NA,NA
Shawnelle Scott,50.6,0.5,0.4,0.2,0.2,NA
Jabari Smith,49.2,0.7,0.5,0.2,0,NA
