Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Reggie Johnson,,3.9,3,2.4,1.6
Eddie Griffin,97.7,3.9,3.2,2.4,1.5
Derrek Dickey,97.0,3.8,3.1,2.3,1.7
Rodney Rogers,95.4,3.9,2.9,2.3,2
Reggie Evans,94.0,3.8,3,2.1,1.7
Dwight Davis,93.5,3.7,3.3,2.3,1.5
Pat Cummings,93.4,4,2.7,2.5,1.8
Tim Bassett,92.5,3.7,2.6,2.4,1.5
Lawrence Funderburke,92.5,3.7,3.1,2.1,1.9
Danny Vranes,92.5,4.2,3.4,2.4,1.8
Bob Doll,92.3,4,2.8,1.8,1.6
