Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Reggie Johnson,,3.9,3,2.4,1.6,NA,NA
Eddie Griffin,96.4,3.9,3.2,2.4,1.5,-0.2,NA
Derrek Dickey,94.5,3.8,3.1,2.3,1.7,0.3,NA
Bob Doll,92.3,4,2.8,1.8,1.6,NA,NA
Frank Kaminsky,92.2,3.6,3.3,2.3,1.8,NA,NA
Bill Garnett,90.9,3.9,3.5,2,1.5,NA,NA
Frank Card,90.6,4.2,2.6,2.4,1.9,0.1,NA
Collis Jones,89.9,4.2,3.2,2.1,1.2,NA,NA
Dwight Davis,89.4,3.7,3.3,2.3,1.5,0.6,NA
Richard Washington,89.3,3.9,3.2,2.1,2,0,-0.5
Dave Budd,87.3,4.1,3.2,2.3,1.2,0.9,NA
