Season,Team,Lg,Salary
1997-98,Boston Celtics,NBA,"$422,500"
1998-99,Boston Celtics,NBA,"$507,000"
1999-00,Chicago Bulls,NBA,"$510,000"
2000-01,Miami Heat,NBA,"$733,000"
2001-02,San Antonio Spurs,NBA,"$715,850"
2002-03,San Antonio Spurs,NBA,"$3,550,000"
2003-04,San Antonio Spurs,NBA,"$3,650,000"
2004-05,San Antonio Spurs,NBA,"$3,000,000"
2005-06,San Antonio Spurs,NBA,"$3,375,000"
2006-07,San Antonio Spurs,NBA,"$3,750,000"
2007-08,San Antonio Spurs,NBA,"$4,125,000"
2008-09,San Antonio Spurs,NBA,"$4,000,000"
2009-10,Milwaukee Bucks,NBA,"$2,000,000"
Career,(may be incomplete),,"$30,338,350"
