Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Hersey Hawkins,,10.9,9.8,9.5,8.7,8.6,8.5,8,7.8,6.5,4,3.5,2.6,2.3,NA,NA
Bill Sharman,91.1,10.4,10.4,9.8,8.8,8.7,7.9,7.7,7.6,5.4,4.3,1.8,NA,NA,NA,NA
Sam Jones,90.3,12.8,10,9.6,9.6,8.9,8.1,7.7,7.5,5.9,5.3,4.9,2.1,NA,NA,NA
Steve Smith,90.3,10.4,10.2,9.1,8.2,8.1,7.9,7.8,6.4,4.4,3.5,2.5,1.9,1.8,1.5,NA
Hal Greer,90.2,11.2,9.9,9.5,8.5,8.2,8.1,7.9,7.6,6.6,6.2,5.8,5.1,4.5,3.5,0.1
Sam Cassell,89.6,12.1,9.6,9.2,8.6,8.5,8.3,7.6,4.7,3.9,3.9,3.8,2.8,2.2,1.8,0.8
Eddie Jones,89.4,10.5,10.1,10.1,9.6,9.1,8,7.9,7.2,6.8,6,6,5,3.1,1.1,NA
Isiah Thomas,89.2,11.2,9.1,8.8,7.6,7.6,7.4,7,6.7,5.8,3.7,3.4,2.3,0.2,NA,NA
Maurice Cheeks,89.0,10.6,9.4,9,8.6,8.5,8.3,7.9,7.9,7.3,7.1,5.3,5.2,4.9,2.1,1.3
Lenny Wilkens,88.7,10.1,9.6,9.5,9,8.1,7.6,7.6,6.5,5.7,5,4.9,4.9,4,2.7,0.4
Allen Iverson,88.6,11.8,11.6,10.6,9.2,9,9,7.2,6.9,6.9,6.2,4.1,2.9,2.8,0.7,NA
