Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Ekpe Udoh,,3.2,2.7,2.1,1.6,0.7,0.3,0,NA,NA
Jake Voskuhl,85.6,3.3,2.7,2.5,1.7,1,0.6,0.2,0,-0.3
Jim McIlvaine,85.5,3,1.9,1.8,1.5,0.8,0.3,0.1,NA,NA
Bob Hopkins,85.2,3.5,2.7,1.9,1.4,NA,NA,NA,NA,NA
Francisco Elson,83.7,3.1,2.9,1.8,1.8,1.6,0.6,0,0,0
Steven Hunter,82.3,2.8,2.6,2.5,1,0.9,0.6,0.1,0.1,NA
Boban Marjanović,81.3,3.4,3,1.7,1.5,NA,NA,NA,NA,NA
Victor Alexander,81.2,3,2.5,2.3,1.1,-0.1,NA,NA,NA,NA
Willie Sojourner,80.3,3.5,3,2.4,1.9,NA,NA,NA,NA,NA
Miles Plumlee,79.7,4,2.6,2.2,0.9,0.5,0.5,0,NA,NA
Gene Wiley,79.2,2.8,2.4,1.8,1.3,-0.1,NA,NA,NA,NA
