Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Clark Kellogg,,7,6.8,6.1,0.9,0.1
Troy Murphy,85.3,6.5,6.4,5.3,1.4,1.3
Leo Mogus,84.6,8,7.7,5,1.2,NA
Sonny Parker,82.7,7,6.8,6.2,3,2.3
John Shumate,82.3,7.7,6.5,6.3,3.5,0.5
Curtis Perry,81.2,7.6,5.3,4.8,1.3,0.2
Bud Palmer,81.0,7.4,7.2,3.9,NA,NA
Michael Cage,80.9,7.2,6.7,6.7,3.2,1.7
Antawn Jamison,80.9,8.5,6.7,6.4,2.3,1.4
Anthony Mason,80.9,7.4,5.6,4.9,0.1,-0.1
Drew Gooden,80.3,8.5,6.6,6.5,1.9,1.7
