Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Clark Kellogg,,7,6.8,6.1,0.9,0.1,NA,NA,NA
Leo Mogus,84.6,8,7.7,5,1.2,NA,NA,NA,NA
John Shumate,82.3,7.7,6.5,6.3,3.5,0.5,NA,NA,NA
Bud Palmer,81.0,7.4,7.2,3.9,NA,NA,NA,NA,NA
Dwight Powell,79.0,7.5,6.6,4.6,3.1,0.6,NA,NA,NA
Julius Randle,77.9,6.6,6.1,3.5,1.6,-0.1,NA,NA,NA
Sonny Parker,77.6,7,6.8,6.2,3,2.3,1.6,NA,NA
Rich Jones,77.0,6.6,6.3,5.8,1.9,1.8,1.5,0.6,0.2
Donald Sidle,76.7,9.7,5.9,5.6,1.9,NA,NA,NA,NA
Julian Hammond,76.5,6.7,6.6,5.7,5.1,0.8,NA,NA,NA
Joe Ingles,75.3,7.6,6,5,2.3,2.2,NA,NA,NA
