Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Reggie Slater,,1.8,1.5,0.8,0.5,0.4,0.2,0.1,-0.1
Solomon Jones,85.1,1.9,1.6,0.8,0.5,0.3,0,0,-0.1
Tony Brown,84.7,1.8,1.3,0.9,0.5,0.2,0.2,0,NA
Rafael Addison,83.3,1.5,1.5,0.9,0.4,0.4,0.2,NA,NA
Henry Walker,81.9,1.9,1.1,0.9,0.5,0.5,NA,NA,NA
Anthony Randolph,80.8,1.6,1.5,1.1,0.6,0.5,0.5,NA,NA
Pete Verhoeven,80.0,2.1,1.2,0.8,0.7,0.4,0,NA,NA
Bob Portman,77.3,1.9,1.2,0.8,0.5,NA,NA,NA,NA
Charles Davis,77.0,2.1,1.5,1,0.9,0.5,0.3,-0.2,-0.3
Thomas Robinson,76.8,1.6,1.5,0.9,0.6,-0.1,NA,NA,NA
Cliff Meely,76.7,1.8,1.2,1,0.4,0.2,NA,NA,NA
