,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2000-01,30,MIN,NBA,PF,55,686,,,7%,91%,2%,+4.3,+3.4,10,9,58,11,53,0,57,13,31
2001-02,31,TOT,NBA,PF,8,47,,,25%,75%,,-8.3,-8.1,1,0,3,0,5,0,2,2,4
2001-02,31,NJN,NBA,PF,4,10,,,32%,68%,,+44.9,+40.6,1,0,1,0,1,0,0,1,0
2001-02,31,ATL,NBA,PF,4,37,,,23%,78%,,-23.2,-18.5,0,0,2,0,4,0,2,1,4
2002-03,32,MIN,NBA,PF,26,141,,,31%,61%,8%,+1.4,-1.0,2,1,10,3,17,0,8,1,9
Career,,,NBA,,89,874,,,12%,85%,3%,+3.2,+2.0,13,10,71,14,75,0,67,16,44
,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,MIN,NBA,,81,827,,,11%,86%,3%,+3.8,+2.6,12,10,68,14,70,0,65,14,40
1 season,,ATL,NBA,,4,37,,,23%,78%,,-23.2,-18.5,0,0,2,0,4,0,2,1,4
1 season,,NJN,NBA,,4,10,,,32%,68%,,+44.9,+40.6,1,0,1,0,1,0,0,1,0
