Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Bobby Wilson,,1.6,0.2,0,-0.1
Mike Evans,85.9,1.6,0.1,-0.1,-0.2
Bernard Robinson,84.7,1.7,0.3,0.1,NA
Greg Grant,82.2,1.4,0.2,0,-0.1
Randy Livingston,77.5,1.5,0.3,0.1,0
Tony Dumas,75.8,1.6,0,0,-0.3
Gerald Green,71.6,1.6,0.5,0,-0.4
Gary Phillips,67.3,1.7,0.3,0.2,0.2
Jerry Rullo,67.1,1.5,0.6,0,-0.1
John Kuester,65.8,1.9,0.1,0,NA
Tracy Jackson,65.5,1.7,0.7,0,NA
