Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1974-75,24,CHI,NBA,SG,48,425,20.4,0.551,0.258,4.5,8.4,6.4,16.1,2.5,0.1,NA,NA,NA,1,0.6,1.6,0.181,NA,2.1,0.7,2.8,0.5
1975-76,25,CHI,NBA,SG,58,856,11.5,0.425,0.119,3.5,7.8,5.5,10.9,1.4,0.1,NA,NA,NA,-0.4,0.6,0.2,0.013,NA,-2.4,-1.4,-3.8,-0.4
1976-77,26,BOS,NBA,SG,25,131,6.8,0.379,0.22,2.3,4.5,3.4,14.7,1,0,NA,NA,NA,-0.2,0.1,-0.1,-0.055,NA,-5.1,-0.8,-6,-0.2
1977-78,27,IND,NBA,SG,12,86,6.6,0.402,0.083,6.6,7,6.8,12.9,1,0.6,13.9,18.9,NA,-0.1,0,0,-0.015,NA,-4,-0.6,-4.6,-0.1
Career,NA,,NBA,,143,1498,13.3,0.457,0.163,3.9,7.6,5.7,12.8,1.7,0.1,13.9,18.9,NA,0.3,1.4,1.7,0.053,NA,-1.5,-0.7,-2.2,-0.1
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,CHI,NBA,,106,1281,14.4,0.466,0.162,3.9,8,5.8,12.7,1.8,0.1,NA,NA,NA,0.6,1.2,1.8,0.069,NA,-0.9,-0.7,-1.6,0.1
1 season,NA,BOS,NBA,,25,131,6.8,0.379,0.22,2.3,4.5,3.4,14.7,1,0,NA,NA,NA,-0.2,0.1,-0.1,-0.055,NA,-5.1,-0.8,-6,-0.2
1 season,NA,IND,NBA,,12,86,6.6,0.402,0.083,6.6,7,6.8,12.9,1,0.6,13.9,18.9,NA,-0.1,0,0,-0.015,NA,-4,-0.6,-4.6,-0.1
