Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Bobby Wilson,,1.6,0.2,0,-0.1,NA,NA
Bernard Robinson,84.7,1.7,0.3,0.1,NA,NA,NA
Tony Dumas,75.8,1.6,0,0,-0.3,NA,NA
Greg Grant,69.0,1.4,0.2,0,0,0,-0.1
Jerry Rullo,67.1,1.5,0.6,0,-0.1,NA,NA
John Kuester,65.8,1.9,0.1,0,NA,NA,NA
Tracy Jackson,65.5,1.7,0.7,0,NA,NA,NA
Stan Noszka,64.5,1.8,0.4,-0.2,NA,NA,NA
Orlando Johnson,64.3,1.5,0.1,-0.2,NA,NA,NA
Travis Mays,64.1,2.1,0.3,0,NA,NA,NA
Bobby Washington,62.7,1.5,0.7,0,NA,NA,NA
