,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2000-01,22,MIL,NBA,PG,1,10,62%,38%,,,,-7.3,-11.4,2,0,0,0,0,0,3,0,0
2001-02,23,SAS,NBA,PG,10,92,100%,,,,,+1.2,-6.1,5,1,5,2,2,0,29,0,1
2003-04,25,SAS,NBA,PG,53,660,92%,9%,,,,+11.1,+3.6,11,11,21,5,15,0,184,5,13
2004-05,26,CHA,NBA,PG,74,1887,82%,18%,,,,-8.3,-3.6,56,20,75,15,40,0,809,5,35
2005-06,27,SAC,NBA,PG,66,818,61%,39%,,,,-2.3,-5.0,20,14,33,7,18,9,156,2,19
2006-07,28,TOT,NBA,PG,36,846,87%,11%,2%,,,-2.2,-1.1,16,11,36,4,13,2,232,1,11
2006-07,28,SAC,NBA,PG,13,100,27%,58%,15%,,,-6.8,-5.0,0,1,7,1,4,0,22,1,2
2006-07,28,LAC,NBA,PG,23,746,95%,5%,,,,-1.5,-1.2,16,10,29,3,9,2,210,0,9
2007-08,29,UTA,NBA,PG,57,606,89%,11%,,,,+2.6,-5.8,14,5,37,2,12,4,189,4,13
2008-09,30,TOT,NBA,PG,39,348,95%,5%,,,,-20.9,-18.6,13,6,14,0,8,1,118,2,9
2008-09,30,LAC,NBA,PG,28,312,96%,4%,,,,-19.4,-10.2,12,4,12,0,8,1,107,2,8
2008-09,30,DEN,NBA,PG,11,36,86%,14%,,,,-33.2,-37.2,1,2,2,0,0,0,11,0,1
2009-10,31,TOT,NBA,PG,5,22,100%,,,,,+19.8,+26.4,3,0,3,0,0,0,13,0,0
2009-10,31,MIN,NBA,PG,1,5,100%,,,,,+41.8,+51.9,0,0,0,0,0,0,2,0,0
2009-10,31,NOH,NBA,PG,4,17,100%,,,,,+15.2,+18.3,3,0,3,0,0,0,11,0,0
Career,,,NBA,,341,5289,83%,17%,,,,-3.3,-3.7,140,68,224,35,108,16,1733,19,101
,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,SAC,NBA,,79,918,57%,41%,2%,,,-2.8,-5.0,20,15,40,8,22,9,178,3,21
1 season,,CHA,NBA,,74,1887,82%,18%,,,,-8.3,-3.6,56,20,75,15,40,0,809,5,35
2 seasons,,SAS,NBA,,63,752,93%,7%,,,,+9.9,+2.4,16,12,26,7,17,0,213,5,14
1 season,,UTA,NBA,,57,606,89%,11%,,,,+2.6,-5.8,14,5,37,2,12,4,189,4,13
2 seasons,,LAC,NBA,,51,1058,95%,5%,,,,-6.8,-3.9,28,14,41,3,17,3,317,2,17
1 season,,DEN,NBA,,11,36,86%,14%,,,,-33.2,-37.2,1,2,2,0,0,0,11,0,1
1 season,,NOH,NBA,,4,17,100%,,,,,+15.2,+18.3,3,0,3,0,0,0,11,0,0
1 season,,MIL,NBA,,1,10,62%,38%,,,,-7.3,-11.4,2,0,0,0,0,0,3,0,0
1 season,,MIN,NBA,,1,5,100%,,,,,+41.8,+51.9,0,0,0,0,0,0,2,0,0
