,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Season,Age,College,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
1996-97,18,SYRACUSE,32,1142,113,298,23,70,58,84,,113,184,90,2,99,85,307,.379,.329,.690,35.7,9.6,3.5,5.8
1997-98,19,SYRACUSE,35,,120,328,25,96,91,133,,126,174,79,3,,,356,.366,.260,.684,,10.2,3.6,5.0
1998-99,20,SYRACUSE,33,1068,167,407,53,145,71,96,,98,143,101,6,103,100,458,.410,.366,.740,32.4,13.9,3.0,4.3
1999-00,21,SYRACUSE,32,1083,125,304,38,115,94,128,,96,208,59,3,111,78,382,.411,.330,.734,33.8,11.9,3.0,6.5
Career,,,132,3293,525,1337,139,426,314,441,,433,709,329,14,313,263,1503,.393,.326,.712,33.9,11.4,3.3,5.4
