Season,Team,Lg,Salary
2000-01,Milwaukee Bucks,NBA,"$316,969"
2001-02,Milwaukee Bucks,NBA,"$465,850"
2003-04,San Antonio Spurs,NBA,"$638,679"
2004-05,Charlotte Bobcats,NBA,"$1,400,000"
2005-06,Sacramento Kings,NBA,"$1,540,000"
2006-07,Sacramento Kings,NBA,"$1,680,000"
2006-07,Los Angeles Clippers,NBA,"$242,640"
2007-08,Utah Jazz,NBA,"$2,300,000"
2008-09,Los Angeles Clippers,NBA,"$2,484,000"
2009-10,Phoenix Suns,NBA,"$451,866"
2009-10,New Orleans Hornets,NBA,"$69,518"
Career,(may be incomplete),,"$11,589,522"
