Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Lloyd Walton,,1.9,1.1,1.1,1.1,0.1
Todd Lichti,88.2,1.8,1.3,1.2,1,0.2
Raul Neto,85.4,1.8,1.1,0.9,0.7,NA
Mo Layton,83.9,1.9,1.1,1,0.3,0.1
Nelson Bobb,82.8,2,1.8,1.2,1.1,NA
Justin Anderson,82.6,1.9,1.2,1.1,0.4,NA
Juan Dixon,81.9,2,1.7,1.4,1.2,0.1
Donnie Butcher,80.8,1.9,1.2,1.1,0.5,-0.3
Sergio Rodríguez,79.5,1.7,1.2,0.9,0.7,-0.2
Mike Davis,79.1,2.2,1.2,0.9,0.6,NA
Dirk Minniefield,77.0,1.9,1.1,1.1,NA,NA
