Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Terry Mills,,6.3,6.2,3.9,3.8,3.8,3.7,3.7,1.3,0.9,0,-0.2
Matt Barnes,88.4,6.3,5.9,4.3,3.7,3.5,3,3,2.3,1,0.7,0.4
Al Harrington,88.1,5.9,5.4,4.3,3.9,3.9,3.8,2.6,1.6,1.2,1,-0.2
Kenny Carr,85.0,6.7,5.8,5.1,3.8,3.1,2.9,2.9,2.1,1.1,0,NA
John Block,84.1,5.5,5.1,4.2,4.2,4.1,4.1,3.1,2.3,0.2,0,NA
Billy Owens,83.6,5.7,5.6,3.7,3.2,3.2,2.8,2.2,1.2,0.8,0.2,NA
Bruce Bowen,83.4,6.2,6.1,5.4,5.1,4.2,4.1,2.2,1.9,1.2,0,0
Antoine Carr,83.3,5.5,5.4,4.3,4,3.8,3.5,3.3,2.2,2.1,1.2,0.7
Darnell Hillman,83.1,6.2,4.4,4.2,3.8,3.3,3.2,3.2,2.6,0.3,NA,NA
P.J. Tucker,83.0,6.1,5,4.9,3.9,3.6,3.5,2.9,0.1,NA,NA,NA
Antoine Walker,82.8,6.7,6.6,5,4.7,3.9,3.6,2.6,2.6,1.7,0.9,-0.3
