Season,Team,Lg,Salary
1990-91,New Jersey Nets,NBA,"$600,000"
1991-92,New Jersey Nets,NBA,"$850,000"
1992-93,Detroit Pistons,NBA,"$1,337,000"
1993-94,Detroit Pistons,NBA,"$1,614,000"
1994-95,Detroit Pistons,NBA,"$1,897,000"
1995-96,Detroit Pistons,NBA,"$2,177,000"
1996-97,Detroit Pistons,NBA,"$2,457,000"
1997-98,Miami Heat,NBA,"$1,000,000"
1998-99,Miami Heat,NBA,"$1,145,000"
1999-00,Detroit Pistons,NBA,"$510,000"
2000-01,Dallas Mavericks,NBA,"$1,400,000"
2000-01,Indiana Pacers,NBA,"$1,000,000"
Career,(may be incomplete),,"$15,987,000"
