Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Jim McIlvaine,,3,1.9,1.8,1.5,0.8,0.3,0.1,NA,NA
Hub Reed,88.6,2.8,2,1.7,1.3,1,0.6,0,NA,NA
Ekpe Udoh,85.5,3.2,2.7,2.1,1.6,0.7,0.3,0,NA,NA
Art Spoelstra,78.8,3.7,1.8,1.7,1.4,NA,NA,NA,NA,NA
Cole Aldrich,78.2,3.5,2.2,1.3,1.2,0.6,0.6,0.2,0,NA
Francisco Elson,78.1,3.1,2.9,1.8,1.8,1.6,0.6,0,0,0
Cherokee Parks,77.9,3.8,2.2,1.9,1.4,1.2,0.9,0.2,0.1,0
Gene Wiley,77.6,2.8,2.4,1.8,1.3,-0.1,NA,NA,NA,NA
Stanley Roberts,77.1,3.2,2.1,1.8,0.7,0.5,0,-0.1,-0.1,NA
Steven Hunter,76.1,2.8,2.6,2.5,1,0.9,0.6,0.1,0.1,NA
Jake Tsakalidis,75.1,2.8,2.8,1.3,1.2,0.9,0.6,0.3,NA,NA
