Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Jim McIlvaine,,3,1.9,1.8,1.5,0.8,0.3,0.1
Hub Reed,88.6,2.8,2,1.7,1.3,1,0.6,0
Michael Doleac,86.0,3,2.2,1.9,1.7,1.5,0.3,0.3
Ekpe Udoh,85.5,3.2,2.7,2.1,1.6,0.7,0.3,0
Cherokee Parks,85.0,3.8,2.2,1.9,1.4,0.9,0.2,0
Paul Mokeski,84.4,3.4,1.7,1.6,1.4,0.9,0.8,-0.1
Sean Rooks,80.5,3,2.2,1.8,1.8,1.5,1.1,0.3
Art Spoelstra,78.8,3.7,1.8,1.7,1.4,NA,NA,NA
Cole Aldrich,78.3,3.5,2.2,1.3,1.2,0.6,0.6,0.2
Mikki Moore,77.8,2.8,2.6,2.2,1,0.6,0.1,0.1
Bill Wennington,77.8,3.5,2.1,1.3,1.2,0.9,0.5,0.4
