Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Reggie Bullock,,4.2,3.1,1.2,1,0.2,0.1,NA,NA,NA,NA,NA,NA
Kelenna Azubuike,88.7,4.1,3.4,1.2,0.7,-0.1,NA,NA,NA,NA,NA,NA,NA
Pep Saul,87.9,4.2,2.8,1.5,0.8,0.6,NA,NA,NA,NA,NA,NA,NA
Eddie Robinson,85.1,4,3,2.2,0.8,0.2,NA,NA,NA,NA,NA,NA,NA
Al Smith,84.5,4.5,3.3,1.8,0.9,0.6,NA,NA,NA,NA,NA,NA,NA
Rick Mount,84.1,4.6,3.5,1.1,0.7,0.6,NA,NA,NA,NA,NA,NA,NA
Khalid Reeves,81.6,3.5,2.5,1.2,1.1,0.1,0,NA,NA,NA,NA,NA,NA
Shammond Williams,80.6,3.1,2.9,1.2,1,0.5,0.2,0,NA,NA,NA,NA,NA
Jaren Jackson,80.4,4.1,3.1,2.1,1.6,0.4,0.2,0.1,0,0,0,0,-0.1
Roger Phegley,80.1,3.7,2.6,1.6,0.8,0,-0.1,NA,NA,NA,NA,NA,NA
Tyus Jones,79.2,3.6,3,1.5,0.3,NA,NA,NA,NA,NA,NA,NA,NA
