Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Reggie Bullock,,4.2,3.1,1.2,1,0.2,0.1
Craig Ehlo,89.5,4.6,3.1,1.2,0.5,0.2,0
Kelenna Azubuike,88.7,4.1,3.4,1.2,0.7,-0.1,NA
Pep Saul,87.9,4.2,2.8,1.5,0.8,0.6,NA
Earl Boykins,85.8,4.1,3.5,1,0.8,0.3,-0.3
Eddie Robinson,85.1,4,3,2.2,0.8,0.2,NA
Al Smith,84.5,4.5,3.3,1.8,0.9,0.6,NA
Rick Mount,84.1,4.6,3.5,1.1,0.7,0.6,NA
Ricky Davis,83.0,4.4,3,2.8,1.1,0.2,0.2
Shammond Williams,82.8,3.1,2.9,1.2,1,0.2,0
Khalid Reeves,81.6,3.5,2.5,1.2,1.1,0.1,0
