Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Darnell Jackson,,0.8,0.7,-0.3,NA,NA,NA
Timothé Luwawu-Cabarrot,66.2,0.8,0.8,0.2,NA,NA,NA
Walter Piatkowski,66.1,1.2,0.8,-0.2,NA,NA,NA
Antonio Lang,63.9,0.8,0.7,0.1,0.1,0,-0.1
Dontonio Wingfield,62.7,0.9,0.9,0,-0.1,NA,NA
Jackie Moore,62.0,0.9,0.5,NA,NA,NA,NA
James Wilkes,56.8,1.1,0.8,0.1,NA,NA,NA
Mark Hendrickson,53.9,0.9,0.8,0.3,0.1,NA,NA
Lou Tsioropoulos,51.6,1.4,0.7,0,NA,NA,NA
DeAndre' Bembry,49.1,0.9,0.3,-0.4,NA,NA,NA
Dennis Wuycik,47.4,1.4,0.9,-0.1,NA,NA,NA
