Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Allen Crabbe,,4.3,4.2,3.2,1.3,0.8,0.1,NA,NA
Billy Kenville,91.2,4.5,3.9,3,1.4,0.5,0.4,NA,NA
Paul Hoffman,87.4,4.7,4.1,2.2,1.1,0.8,NA,NA,NA
Charles Dudley,86.8,4.6,4,3.6,1.6,0.2,-0.1,NA,NA
Whitey Skoog,83.2,4.1,3.6,2.9,1.9,1,0.7,NA,NA
Eric Money,83.0,4.2,3.6,3.3,2.7,0.6,0.3,NA,NA
T.J. Ford,82.7,4.3,4.3,3.3,2.5,1.4,0.7,0.2,0.2
Dean Meminger,82.6,5,4.4,3.9,2.2,1,0.2,NA,NA
Al Wood,81.3,4.4,4.2,2.5,2.3,1,0.9,NA,NA
Slick Watts,80.7,4.7,3.3,2.7,1.2,1.2,0.8,NA,NA
Skeeter Swift,80.1,4.3,3.4,2.7,1.8,0,NA,NA,NA
