Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Allen Crabbe,,4.3,4.2,3.2,1.3,0.8,0.1
Billy Kenville,91.2,4.5,3.9,3,1.4,0.5,0.4
Wali Jones,89.3,4,4,2.5,1.3,0.8,0.3
Paul Hoffman,87.4,4.7,4.1,2.2,1.1,0.8,NA
Charles Dudley,86.8,4.6,4,3.6,1.6,0.2,-0.1
Adrian Griffin,85.7,3.9,3.5,2.9,1.3,0.4,0.1
Doug West,85.4,4.6,4.3,2.6,1.8,1.2,-0.1
T.J. Ford,84.4,4.3,4.3,3.3,2.5,1.4,0.7
Whitey Skoog,83.2,4.1,3.6,2.9,1.9,1,0.7
Eric Money,83.0,4.2,3.6,3.3,2.7,0.6,0.3
Ron Brewer,82.9,5.6,4.3,3.3,1.6,1.4,0.3
