Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Lionel Hollins,,5.2,4,3.4,2.9,2.5,2.3,1.8,0.6,0.1,0.1
Jeremy Lin,92.9,5.4,4.4,3.5,2.7,2.7,2.1,2.1,0.5,0,NA
Maurice Evans,92.5,4.9,3.8,3.2,3.1,2.6,2.1,1.7,0.3,0.1,NA
Steve Blake,90.7,5.8,3.8,3.3,2.8,2.4,2.1,1.8,1,0.7,0.3
Chris Childs,90.1,5.8,3.9,3.7,2.9,2.2,2.1,1.2,1.1,0.1,NA
Greg Buckner,89.4,4.8,3.8,3.1,2.3,2.2,2,1.8,0.3,0.3,0.1
Herm Gilliam,89.2,4.9,3.4,2.9,2.7,2.5,2.5,1.4,0.4,NA,NA
Bill Hanzlik,89.2,4.7,4.1,3.5,2.9,2.4,2.2,1.9,1.3,1,0.7
Jerry Sichting,89.0,5.2,4.2,3.5,2.7,2.3,1.5,1.1,0.3,0.2,0.2
Carlos Delfino,88.6,4.8,4,3.5,3.5,2.9,2.4,1,0.5,NA,NA
George McCloud,87.6,5.8,3.8,3.3,3.2,2.4,2.3,1.4,0.9,-0.4,-0.7
