Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Keith Herron,,3.5,0,-0.3,NA,NA,NA
Joe DePre,96.1,3.4,0,-0.3,NA,NA,NA
Paul Thompson,59.1,3.7,1.1,0.1,NA,NA,NA
Ticky Burden,59.0,2.6,0,0,NA,NA,NA
Jerry Harkness,57.5,2.9,0.5,0,NA,NA,NA
Malik Beasley,56.3,4.5,0.3,0.2,NA,NA,NA
Jim Thomas,52.4,3.5,1.6,0,-0.1,NA,NA
Kevin Joyce,51.5,3,0.6,-0.7,NA,NA,NA
Alfred McGuire,47.9,3.4,1.9,0.1,NA,NA,NA
Negele Knight,47.1,3.2,0.6,0.5,0.1,-0.1,-0.2
Cliff Barker,43.8,2.2,0.1,-0.2,NA,NA,NA
