Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Evan Fournier,,5.7,3.3,3.2,2.8,2.1,1.4,1,NA,NA,NA,NA
Larry Miller,88.9,6.2,3.4,3.2,3,2.4,1.3,0,NA,NA,NA,NA
Malik Sealy,86.8,5.5,3.2,3.2,2.1,1.2,1.1,0.6,0.2,NA,NA,NA
Jerry Sichting,86.7,5.2,4.2,3.5,2.7,2.3,1.5,1.1,0.3,0.2,0.2,NA
Chris Whitney,86.1,6.5,4,3.2,2.7,2.3,1.3,1,0.6,0.2,-0.2,-0.3
Chris Childs,85.6,5.8,3.9,3.7,2.9,2.2,2.1,1.2,1.1,0.1,NA,NA
Aaron Brooks,85.4,5.5,3.6,3.3,2.2,1.4,1.1,0.9,0.8,0.3,0.1,NA
Darwin Cook,85.1,6,3.9,3.6,3,2.7,1.6,1.2,0.9,NA,NA,NA
Jim Price,84.7,5,3.7,2.7,2.6,2.4,1.8,1.5,NA,NA,NA,NA
Anthony Morrow,84.0,5.7,3.5,3,3,2.4,1.9,1.7,1.2,0.7,NA,NA
Chico Vaughn,83.5,4.9,3.4,3.4,2.3,2.3,0.8,0.4,0.4,NA,NA,NA
